,갱신요구권사용,건축년도,계약구분,계약기간,년,단지,법정동,보증금,시군구,월,월세,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
28,,2014,,,2016,청계천 두산위브더제니스,흥인동,"8,000",중구,2,125,5,59.91,,,13-1,11140,10
29,,2014,,,2016,청계천 두산위브더제니스,흥인동,"4,000",중구,2,120,12,46.23,,,13-1,11140,13
30,,2013,,,2016,(91),흥인동,"5,000",중구,2,40,15,22.18,,,91,11140,12
31,,2014,,,2016,청계천 두산위브더제니스,흥인동,"2,000",중구,2,125,15,46.74,,,13-1,11140,12
32,,2014,,,2016,청계천 두산위브더제니스,흥인동,"2,000",중구,2,125,16,46.74,,,13-1,11140,4
33,,2014,,,2016,청계천 두산위브더제니스,흥인동,"3,000",중구,2,120,22,46.74,,,13-1,11140,12
34,,2014,,,2016,아미인,황학동,"3,000",중구,2,33,2,18.41,,,836,11140,4
35,,2014,,,2016,아미인,황학동,"3,000",중구,2,43,2,18.41,,,836,11140,4
36,,2013,,,2016,한양 I-Class,황학동,"1,000",중구,2,55,2,19.05,,,787,11140,8
37,,2013,,,2016,한양 I-Class,황학동,"1,000",중구,2,60,2,19.05,,,787,11140,12
38,,2013,,,2016,한양 I-Class,황학동,"12,000",중구,2,0,4,19.05,,,787,11140,12
39,,2013,,,2016,한양 I-Class,황학동,"12,000",중구,2,0,9,19.05,,,787,11140,4
40,,2013,,,2016,한양 I-Class,황학동,"3,000",중구,2,40,9,19.05,,,787,11140,12
41,,2015,,,2016,골드캐슬Ⅰ,황학동,"10,500",중구,2,0,10,17.71,,,1725,11140,4
42,,2004,,,2016,신당역올리브2,황학동,"1,000",중구,2,55,10,23.82,,,2484,11140,10
43,,2014,,,2016,다올노블리움A동,황학동,"22,500",중구,2,0,10,44.8,,,1744,11140,2
44,,2014,,,2016,아미인,황학동,"12,500",중구,2,0,11,18.23,,,836,11140,5
45,,2003,,,2016,중앙시티빌,황학동,"11,000",중구,2,0,12,31.04,,,805,11140,10
46,,2014,,,2016,아미인,황학동,"10,000",중구,2,15,12,18.41,,,836,11140,4
47,,2013,,,2016,한양 I-Class,황학동,"3,000",중구,2,45,13,19.05,,,787,11140,9
48,,2014,,,2016,DUO302,황학동,"3,500",중구,2,50,15,22.52,,,819,11140,13
49,,2014,,,2016,아미인,황학동,"12,500",중구,2,0,15,18.23,,,836,11140,5
50,,2015,,,2016,골드캐슬Ⅰ,황학동,"20,500",중구,2,0,15,40.61,,,1725,11140,4
51,,2014,,,2016,아미인,황학동,"12,000",중구,2,0,16,18.23,,,836,11140,3
52,,2014,,,2016,DUO302,황학동,500,중구,2,70,16,23.06,,,819,11140,14
53,,2014,,,2016,블루카운티Ⅱ,황학동,500,중구,2,57,16,22.81,,,1628,11140,4
54,,2014,,,2016,아미인,황학동,"1,000",중구,2,55,17,18.62,,,836,11140,2
55,,2004,,,2016,신당역올리브2,황학동,"3,000",중구,2,45,20,26.47,,,2484,11140,6
56,,2010,,,2016,황학동 코아루,황학동,"22,000",중구,2,0,24,48.1,,,882,11140,5
57,,2014,,,2016,블루카운티Ⅱ,황학동,"24,000",중구,2,0,26,49.43,,,1628,11140,6
58,,2014,,,2016,DUO302,황학동,"1,000",중구,2,70,27,22.52,,,819,11140,16
59,,2014,,,2016,DUO302,황학동,"3,000",중구,2,55,27,22.52,,,819,11140,19
60,,2013,,,2016,한양 I-Class,황학동,"1,000",중구,2,60,27,19.05,,,787,11140,11
61,,2014,,,2016,아미인,황학동,"4,000",중구,2,35,28,18.62,,,836,11140,5
62,,2006,,,2016,브라운스톤서울,중림동,"34,000",중구,2,0,24,62.82,,,355,11140,4
63,,2005,,,2016,서울역 디오빌,만리동1가,"27,000",중구,2,0,20,56.17,,,62-7,11140,9
64,,2005,,,2016,서울역 디오빌,만리동1가,"27,000",중구,2,0,20,56.17,,,62-7,11140,9
65,,2004,,,2016,KCC 파크타운,만리동2가,"18,000",중구,2,50,4,66.47,,,11-1,11140,6
66,,2004,,,2016,KCC 파크타운,만리동2가,"30,000",중구,2,0,13,66.47,,,11-1,11140,2
67,,2004,,,2016,KCC 파크타운,만리동2가,"5,000",중구,2,55,18,32.02,,,11-1,11140,10
0,,2014,,,2016,코발트팰리스,오장동,"23,000",중구,3,0,2,39.35,,,90-24,11140,14
1,,2013,,,2016,엘크루 메트로시티,충무로3가,"1,000",중구,3,90,2,26.78,,,49,11140,12
2,,2014,,,2016,신당아르브,신당동,"1,000",중구,3,70,1,21.31,,,160-5,11140,17
3,,2004,,,2016,JK오피스텔,신당동,"4,000",중구,3,40,5,22.75,,,353-22,11140,2
4,,2005,,,2016,남산정은스카이,신당동,"3,000",중구,3,80,5,33.05,,,366-126,11140,4
5,,2016,,,2016,신당역솔하임,신당동,"3,000",중구,3,60,6,18.8,,,140-23,11140,7
6,,2016,,,2016,신당역솔하임,신당동,"5,000",중구,3,52,6,18.8,,,140-23,11140,4
7,,2016,,,2016,신당역솔하임,신당동,"13,500",중구,3,0,9,18.8,,,140-23,11140,5
8,,2016,,,2016,신당역솔하임,신당동,"13,500",중구,3,0,10,18.8,,,140-23,11140,5
9,,2016,,,2016,신당역솔하임,신당동,"14,500",중구,3,0,11,18.8,,,140-23,11140,8
10,,2016,,,2016,신당역솔하임,신당동,"11,000",중구,3,0,11,18.6,,,140-23,11140,12
11,,2016,,,2016,신당역솔하임,신당동,"13,000",중구,3,0,15,18.8,,,140-23,11140,7
12,,2016,,,2016,신당역솔하임,신당동,"5,000",중구,3,70,17,26.72,,,140-23,11140,7
13,,2014,,,2016,신당아르브,신당동,"2,000",중구,3,55,17,21.31,,,160-5,11140,12
14,,2016,,,2016,신당역솔하임,신당동,"1,000",중구,3,65,18,18.8,,,140-23,11140,9
15,,2016,,,2016,신당역솔하임,신당동,"1,000",중구,3,70,24,18.8,,,140-23,11140,12
16,,2016,,,2016,신당역솔하임,신당동,"4,000",중구,3,55,25,18.8,,,140-23,11140,13
17,,2016,,,2016,신당역솔하임,신당동,"1,000",중구,3,75,26,20.69,,,140-23,11140,5
18,,2016,,,2016,신당역솔하임,신당동,"14,000",중구,3,0,26,18.8,,,140-23,11140,6
19,,2015,,,2016,승리빌딩,신당동,"3,000",중구,3,40,30,14.68,,,309-45,11140,7
20,,2014,,,2016,청계천 두산위브더제니스,흥인동,"1,000",중구,3,130,9,46.74,,,13-1,11140,5
21,,2014,,,2016,청계천 두산위브더제니스,흥인동,"5,000",중구,3,100,12,46.74,,,13-1,11140,14
22,,2014,,,2016,청계천 두산위브더제니스,흥인동,"5,000",중구,3,100,16,46.74,,,13-1,11140,3
23,,2014,,,2016,청계천 두산위브더제니스,흥인동,"5,000",중구,3,100,18,46.74,,,13-1,11140,6
24,,2013,,,2016,(91),흥인동,"6,500",중구,3,35,25,21.88,,,91,11140,15
25,,2014,,,2016,청계천 두산위브더제니스,흥인동,"10,000",중구,3,60,27,46.74,,,13-1,11140,22
26,,2014,,,2016,청계천 두산위브더제니스,흥인동,"5,000",중구,3,140,29,54.53,,,13-1,11140,18
27,,2014,,,2016,아미인,황학동,"13,000",중구,3,0,1,18.23,,,836,11140,6
28,,2014,,,2016,블루카운티Ⅱ,황학동,"12,000",중구,3,0,1,22.81,,,1628,11140,7
29,,2014,,,2016,DUO302,황학동,"5,000",중구,3,40,1,22.52,,,819,11140,4
30,,2014,,,2016,블루카운티Ⅱ,황학동,"24,000",중구,3,0,1,49.43,,,1628,11140,7
31,,2014,,,2016,다올 노블리움 B동,황학동,"22,000",중구,3,0,4,46.2,,,1744-1,11140,2
32,,2014,,,2016,DUO302,황학동,"14,000",중구,3,0,5,22.52,,,819,11140,3
33,,2014,,,2016,DUO302,황학동,"1,000",중구,3,66,5,22.52,,,819,11140,2
34,,2015,,,2016,골드캐슬Ⅰ,황학동,"2,000",중구,3,95,5,40.61,,,1725,11140,6
35,,2014,,,2016,DUO302,황학동,"4,000",중구,3,50,5,22.52,,,819,11140,11
36,,2014,,,2016,DUO302,황학동,"3,000",중구,3,55,5,22.52,,,819,11140,19
37,,2013,,,2016,한양 I-Class,황학동,"10,000",중구,3,0,7,19.05,,,787,11140,6
38,,2010,,,2016,황학동 코아루,황학동,"22,500",중구,3,0,11,41.68,,,882,11140,7
39,,2004,,,2016,올리브1,황학동,"7,000",중구,3,20,19,25.05,,,808,11140,6
40,,2014,,,2016,아미인,황학동,"12,800",중구,3,0,23,18.62,,,836,11140,3
41,,2004,,,2016,올리브1,황학동,500,중구,3,60,26,25.05,,,808,11140,6
42,,2013,,,2016,한양 I-Class,황학동,"2,000",중구,3,50,26,19.05,,,787,11140,4
43,,2014,,,2016,아미인,황학동,"13,000",중구,3,0,26,18.23,,,836,11140,5
44,,2014,,,2016,DUO302,황학동,"14,000",중구,3,0,26,23.06,,,819,11140,4
45,,2014,,,2016,아미인,황학동,"12,800",중구,3,0,30,18.62,,,836,11140,2
46,,2004,,,2016,KCC 파크타운,만리동2가,"6,000",중구,3,90,8,66.47,,,11-1,11140,14
0,,2014,,,2016,코발트팰리스,오장동,"10,000",중구,4,5,1,20.36,,,90-24,11140,10
1,,2014,,,2016,코발트팰리스,오장동,"12,000",중구,4,0,8,20.36,,,90-24,11140,12
